OBJECTID,Day,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCu
1,2020/12/14 15:00:00+00,3,223,,58,,,3,223,0,58,3,252
2,2020/12/15 15:00:00+00,15,238,1,59,,,15,238,1,59,16,268
3,2020/12/16 15:00:00+00,548,786,2,61,,,548,786,2,61,550,818
4,2020/12/17 15:00:00+00,1057,1843,,61,,,1057,1843,0,61,1057,1875
5,2020/12/18 15:00:00+00,2870,4713,2,63,,,2870,4713,2,63,2872,4747
6,2020/12/19 15:00:00+00,854,5567,1,64,,,854,5567,1,64,855,5602
7,2020/12/20 15:00:00+00,287,5854,2,66,,,287,5854,2,66,289,5891
8,2020/12/21 15:00:00+00,3728,9582,4,70,,,3728,9582,4,70,3732,9623
9,2020/12/22 15:00:00+00,6190,15772,2,72,,,6190,15772,2,72,6192,15815
10,2020/12/23 15:00:00+00,5480,21252,10,82,,,5480,21252,10,82,5490,21305
11,2020/12/24 15:00:00+00,2644,23896,4,86,,,2644,23896,4,86,2648,23953
12,2020/12/25 15:00:00+00,1031,24927,2,88,,,1031,24927,2,88,1033,24986
13,2020/12/26 15:00:00+00,1667,26594,3,91,,,1667,26594,3,91,1670,26656
14,2020/12/27 15:00:00+00,1770,28364,4,95,,,1770,28364,4,95,1774,28430
15,2020/12/28 15:00:00+00,8625,36989,10,105,,,8625,36989,10,105,8635,37065
16,2020/12/29 15:00:00+00,10357,47346,8,113,,,10357,47346,8,113,10365,47430
17,2020/12/30 15:00:00+00,12189,59535,20,133,,,12189,59535,20,133,12209,59639
18,2020/12/31 15:00:00+00,7319,66854,13,146,,,7319,66854,13,146,7332,66971
19,2021/01/01 15:00:00+00,1653,68507,34,180,,,1653,68507,34,180,1687,68658
20,2021/01/02 15:00:00+00,2638,71145,25,205,,,2638,71145,25,205,2663,71321
21,2021/01/03 15:00:00+00,3181,74326,69,274,,,3181,74326,69,274,3250,74571
22,2021/01/04 15:00:00+00,12858,87184,254,528,,,12858,87184,254,528,13112,87683
23,2021/01/05 15:00:00+00,11775,98959,442,970,,,11775,98959,442,970,12217,99900
24,2021/01/06 15:00:00+00,14692,113651,773,1743,,,14692,113651,773,1743,15465,115365
25,2021/01/07 15:00:00+00,14652,128303,1598,3341,,,14652,128303,1598,3341,16250,131615
26,2021/01/08 15:00:00+00,23616,151919,2566,5907,,,23616,151919,2566,5907,26182,157797
27,2021/01/09 15:00:00+00,4853,156772,871,6778,,,4853,156772,871,6778,5724,163521
28,2021/01/10 15:00:00+00,2748,159520,341,7119,,,2748,159520,341,7119,3089,166610
29,2021/01/11 15:00:00+00,13315,172835,3264,10383,,,13315,172835,3264,10383,16579,183189
30,2021/01/12 15:00:00+00,16936,189771,5337,15720,,,16936,189771,5337,15720,22273,205462
31,2021/01/13 15:00:00+00,17967,207738,3704,19424,,,17967,207738,3704,19424,21671,227133
32,2021/01/14 15:00:00+00,17420,225158,1833,21257,,,17420,225158,1833,21257,19253,246386
33,2021/01/15 15:00:00+00,18980,244138,1818,23075,,,18980,244138,1818,23075,20798,267184
34,2021/01/16 15:00:00+00,5504,249642,1524,24599,,,5504,249642,1524,24599,7028,274212
35,2021/01/17 15:00:00+00,2104,251746,1324,25923,,,2104,251746,1324,25923,3428,277640
36,2021/01/18 15:00:00+00,7128,258874,2888,28811,,,7128,258874,2888,28811,10016,287656
37,2021/01/19 15:00:00+00,16443,275317,4655,33466,,,16443,275317,4655,33466,21098,308754
38,2021/01/20 15:00:00+00,20532,295849,4811,38277,,,20532,295849,4811,38277,25343,334097
39,2021/01/21 15:00:00+00,22913,318762,3276,41553,,,22913,318762,3276,41553,26189,360286
40,2021/01/22 15:00:00+00,28311,347073,3264,44817,,,28311,347073,3264,44817,31575,391861
41,2021/01/23 15:00:00+00,9495,356568,1519,46336,,,9495,356568,1519,46336,11014,402875
42,2021/01/24 15:00:00+00,3284,359852,1564,47900,,,3284,359852,1564,47900,4848,407723
43,2021/01/25 15:00:00+00,16252,376104,8088,55988,,,16252,376104,8088,55988,24340,432063
44,2021/01/26 15:00:00+00,17351,393455,8451,64439,,,17351,393455,8451,64439,25802,457865
45,2021/01/27 15:00:00+00,24073,417528,12038,76477,,,24073,417528,12038,76477,36111,493976
46,2021/01/28 15:00:00+00,22349,439877,8938,85415,,,22349,439877,8938,85415,31287,525263
47,2021/01/29 15:00:00+00,23571,463448,6936,92351,,,23571,463448,6936,92351,30507,555770
48,2021/01/30 15:00:00+00,17488,480936,2307,94658,,,17488,480936,2307,94658,19795,575565
49,2021/01/31 15:00:00+00,3671,484607,1216,95874,,,3671,484607,1216,95874,4887,580452
50,2021/02/01 15:00:00+00,6508,491115,4164,100038,,,6508,491115,4164,100038,10672,591124
51,2021/02/02 15:00:00+00,11771,502886,13251,113289,,,11771,502886,13251,113289,25022,616146
52,2021/02/03 15:00:00+00,17525,520411,17536,130825,,,17525,520411,17536,130825,35061,651207
53,2021/02/04 15:00:00+00,21667,542078,15211,146036,,,21667,542078,15211,146036,36878,688085
54,2021/02/05 15:00:00+00,19879,561957,16929,162965,,,19879,561957,16929,162965,36808,724893
55,2021/02/06 15:00:00+00,10996,572953,14177,177142,,,10996,572953,14177,177142,25173,750066
56,2021/02/07 15:00:00+00,5826,578779,1639,178781,,,5826,578779,1639,178781,7465,757531
57,2021/02/08 15:00:00+00,12566,591345,12412,191193,,,12566,591345,12412,191193,24978,782509
58,2021/02/09 15:00:00+00,16360,607705,13254,204447,,,16360,607705,13254,204447,29614,812123
59,2021/02/10 15:00:00+00,19060,626765,20664,225111,,,19060,626765,20664,225111,39724,851847
60,2021/02/11 15:00:00+00,22742,649507,16840,241951,,,22742,649507,16840,241951,39582,891429
61,2021/02/12 15:00:00+00,19875,669382,19088,261039,,,19875,669382,19088,261039,38963,930392
62,2021/02/13 15:00:00+00,11039,680421,5974,267013,,,11039,680421,5974,267013,17013,947405
63,2021/02/14 15:00:00+00,6994,687415,1961,268974,,,6994,687415,1961,268974,8955,956360
64,2021/02/15 15:00:00+00,11401,698816,12427,281401,,,11401,698816,12427,281401,23828,980188
65,2021/02/16 15:00:00+00,16433,715249,20503,301904,,,16433,715249,20503,301904,36936,1017124
66,2021/02/17 15:00:00+00,20531,735780,25734,327638,,,20531,735780,25734,327638,46265,1063389
67,2021/02/18 15:00:00+00,3214,738994,4211,331849,,,3214,738994,4211,331849,7425,1070814
68,2021/02/19 15:00:00+00,10766,749760,18903,350752,,,10766,749760,18903,350752,29669,1100483
69,2021/02/20 15:00:00+00,10078,759838,19738,370490,,,10078,759838,19738,370490,29816,1130299
70,2021/02/21 15:00:00+00,6065,765903,7253,377743,,,6065,765903,7253,377743,13318,1143617
71,2021/02/22 15:00:00+00,8054,773957,14901,392644,,,8054,773957,14901,392644,22955,1166572
72,2021/02/23 15:00:00+00,15489,789446,15297,407941,,,15489,789446,15297,407941,30786,1197358
73,2021/02/24 15:00:00+00,17780,807226,24232,432173,,,17780,807226,24232,432173,42012,1239370
74,2021/02/25 15:00:00+00,20088,827314,26075,458248,,,20088,827314,26075,458248,46163,1285533
75,2021/02/26 15:00:00+00,26388,853702,25389,483637,,,26388,853702,25389,483637,51777,1337310
76,2021/02/27 15:00:00+00,15721,869423,10862,494499,,,15721,869423,10862,494499,26583,1363893
77,2021/02/28 15:00:00+00,15421,884844,4461,498960,,,15421,884844,4461,498960,19882,1383775
78,2021/03/01 15:00:00+00,24260,909104,11342,510302,,,24260,909104,11342,510302,35602,1419377
79,2021/03/02 15:00:00+00,23334,932438,12670,522972,14,14,23348,932452,12684,522986,36018,1455395
80,2021/03/03 15:00:00+00,29344,961782,17780,540752,147,161,29491,961943,17927,540913,47271,1502666
81,2021/03/04 15:00:00+00,30423,992205,17677,558429,4060,4221,34483,996426,21737,562650,52160,1554826
82,2021/03/05 15:00:00+00,28360,1020565,18705,577134,4848,9069,33208,1029634,23553,586203,51913,1606739
83,2021/03/06 15:00:00+00,17522,1038087,8617,585751,5949,15018,23471,1053105,14566,600769,32088,1638827
84,2021/03/07 15:00:00+00,11946,1050033,4500,590251,6561,21579,18507,1071612,11061,611830,23007,1661834
85,2021/03/08 15:00:00+00,25341,1075374,8404,598655,8185,29764,33526,1105138,16589,628419,41930,1703764
86,2021/03/09 15:00:00+00,25615,1100989,14955,613610,8251,38015,33866,1139004,23206,651625,48821,1752585
87,2021/03/10 15:00:00+00,29096,1130085,15493,629103,7904,45919,37000,1176004,23397,675022,52493,1805078
88,2021/03/11 15:00:00+00,33626,1163711,15948,645051,3851,49770,37477,1213481,19799,694821,53425,1858503
89,2021/03/12 15:00:00+00,36638,1200349,17300,662351,2797,52567,39435,1252916,20097,714918,56735,1915238
90,2021/03/13 15:00:00+00,22489,1222838,9852,672203,1494,54061,23983,1276899,11346,726264,33835,1949073
91,2021/03/14 15:00:00+00,17670,1240508,6511,678714,960,55021,18630,1295529,7471,733735,25141,1974214
92,2021/03/15 15:00:00+00,29270,1269778,10851,689565,549,55570,29819,1325348,11400,745135,40670,2014884
93,2021/03/16 15:00:00+00,32926,1302704,13065,702630,759,56329,33685,1359033,13824,758959,46750,2061634
94,2021/03/17 15:00:00+00,37026,1339730,16464,719094,1140,57469,38166,1397199,17604,776563,54630,2116264
95,2021/03/18 15:00:00+00,40819,1380549,11986,731080,1292,58761,42111,1439310,13278,789841,54097,2170361
96,2021/03/19 15:00:00+00,37487,1418036,14881,745961,1010,59771,38497,1477807,15891,805732,53378,2223739
97,2021/03/20 15:00:00+00,24122,1442158,9729,755690,671,60442,24793,1502600,10400,816132,34522,2258261
98,2021/03/21 15:00:00+00,18807,1460965,7352,763042,310,60752,19117,1521717,7662,823794,26469,2284730
99,2021/03/22 15:00:00+00,32136,1493101,10943,773985,818,61570,32954,1554671,11761,835555,43897,2328627
100,2021/03/23 15:00:00+00,37265,1530366,16723,790708,1518,63088,38783,1593454,18241,853796,55506,2384133
101,2021/03/24 15:00:00+00,40584,1570950,20425,811133,1353,64441,41937,1635391,21778,875574,62362,2446495
102,2021/03/25 15:00:00+00,41868,1612818,20205,831338,2452,66893,44320,1679711,22657,898231,64525,2511020
103,2021/03/26 15:00:00+00,36369,1649187,25161,856499,2492,69385,38861,1718572,27653,925884,64022,2575042
104,2021/03/27 15:00:00+00,26825,1676012,16394,872893,2384,71769,29209,1747781,18778,944662,45603,2620645
105,2021/03/28 15:00:00+00,16940,1692952,12300,885193,1610,73379,18550,1766331,13910,958572,30850,2651495
106,2021/03/29 15:00:00+00,29562,1722514,25576,910769,1123,74502,30685,1797016,26699,985271,56261,2707756
107,2021/03/30 15:00:00+00,39551,1762065,28124,938893,1830,76332,41381,1838397,29954,1015225,69505,2777261
108,2021/03/31 15:00:00+00,40604,1802669,33685,972578,5728,82060,46332,1884729,39413,1054638,80017,2857278
109,2021/04/01 15:00:00+00,40467,1843136,36367,1008945,5443,87503,45910,1930639,41810,1096448,82277,2939555
110,2021/04/02 15:00:00+00,34436,1877572,31487,1040432,5762,93265,40198,1970837,37249,1133697,71685,3011240
111,2021/04/03 15:00:00+00,21408,1898980,18160,1058592,4325,97590,25733,1996570,22485,1156182,43893,3055133
112,2021/04/04 15:00:00+00,8294,1907274,9905,1068497,915,98505,9209,2005779,10820,1167002,19114,3074247
113,2021/04/05 15:00:00+00,27488,1934762,28144,1096641,6581,105086,34069,2039848,34725,1201727,62213,3136460
114,2021/04/06 15:00:00+00,39489,1974251,29609,1126250,10434,115520,49923,2089771,40043,1241770,79532,3215992
115,2021/04/07 15:00:00+00,35558,2009809,33238,1159488,12652,128172,48210,2137981,45890,1287660,81448,3297440
116,2021/04/08 15:00:00+00,41848,2051657,35312,1194800,13659,141831,55507,2193488,48971,1336631,90819,3388259
117,2021/04/09 15:00:00+00,33601,2085258,35489,1230289,14398,156229,47999,2241487,49887,1386518,83488,3471747
118,2021/04/10 15:00:00+00,23223,2108481,22666,1252955,7533,163762,30756,2272243,30199,1416717,53422,3525169
119,2021/04/11 15:00:00+00,17456,2125937,13059,1266014,10060,173822,27516,2299759,23119,1439836,40575,3565744
120,2021/04/12 15:00:00+00,24213,2150150,32510,1298524,10836,184658,35049,2334808,43346,1483182,67559,3633303
121,2021/04/13 15:00:00+00,126600,2276750,89907,1388431,3289,187947,129889,2464697,93196,1576378,219796,3853099
122,2021/04/14 15:00:00+00,40500,2317250,37044,1425475,202,188149,40702,2505399,37246,1613624,77746,3930845
123,2021/04/15 15:00:00+00,41167,2358417,38251,1463726,166,188315,41333,2546732,38417,1652041,79584,4010429
124,2021/04/16 15:00:00+00,36880,2395297,37983,1501709,18,188333,36898,2583630,38001,1690042,74881,4085310
125,2021/04/17 15:00:00+00,32663,2427960,21538,1523247,11,188344,32674,2616304,21549,1711591,54212,4139522
126,2021/04/18 15:00:00+00,19567,2447527,15788,1539035,3,188347,19570,2635874,15791,1727382,35358,4174880
127,2021/04/19 15:00:00+00,29490,2477017,35631,1574666,62,188409,29552,2665426,35693,1763075,65183,4240063
128,2021/04/20 15:00:00+00,31867,2508884,42248,1616914,52,188461,31919,2697345,42300,1805375,74167,4314230
129,2021/04/21 15:00:00+00,37435,2546319,42856,1659770,19,188480,37454,2734799,42875,1848250,80310,4394540
130,2021/04/22 15:00:00+00,35535,2581854,39152,1698922,15,188495,35550,2770349,39167,1887417,74702,4469242
131,2021/04/23 15:00:00+00,31539,2613393,38232,1737154,15,188510,31554,2801903,38247,1925664,69786,4539028
132,2021/04/24 15:00:00+00,26256,2639649,27398,1764552,73,188583,26329,2828232,27471,1953135,53727,4592755
133,2021/04/25 15:00:00+00,20158,2659807,10671,1775223,29,188612,20187,2848419,10700,1963835,30858,4623613
134,2021/04/26 15:00:00+00,26564,2686371,31427,1806650,204,188816,26768,2875187,31631,1995466,58195,4681808
135,2021/04/27 15:00:00+00,26331,2712702,31983,1838633,1092,189908,27423,2902610,33075,2028541,59406,4741214
136,2021/04/28 15:00:00+00,27953,2740655,37758,1876391,1355,191263,29308,2931918,39113,2067654,67066,4808280
137,2021/04/29 15:00:00+00,26443,2767098,37648,1914039,1425,192688,27868,2959786,39073,2106727,65516,4873796
138,2021/04/30 15:00:00+00,27055,2794153,30555,1944594,1597,194285,28652,2988438,32152,2138879,59207,4933003
139,2021/05/01 15:00:00+00,19518,2813671,24450,1969044,967,195252,20485,3008923,25417,2164296,44935,4977938
140,2021/05/02 15:00:00+00,10235,2823906,16787,1985831,795,196047,11030,3019953,17582,2181878,27817,5005755
141,2021/05/03 15:00:00+00,13123,2837029,28439,2014270,1896,197943,15019,3034972,30335,2212213,43458,5049213
142,2021/05/04 15:00:00+00,13553,2850582,37320,2051590,1714,199657,15267,3050239,39034,2251247,52587,5101800
143,2021/05/05 15:00:00+00,18415,2868997,35820,2087410,1889,201546,20304,3070543,37709,2288956,56124,5157924
144,2021/05/06 15:00:00+00,16904,2885901,38735,2126145,1677,203223,18581,3089124,40412,2329368,57316,5215240
145,2021/05/07 15:00:00+00,17114,2903015,34170,2160315,1910,205133,19024,3108148,36080,2365448,53194,5268434
146,2021/05/08 15:00:00+00,10415,2913430,30157,2190472,1279,206412,11694,3119842,31436,2396884,41851,5310285
147,2021/05/09 15:00:00+00,5121,2918551,11243,2201715,689,207101,5810,3125652,11932,2408816,17053,5327338
148,2021/05/10 15:00:00+00,8786,2927337,30011,2231726,1270,208371,10056,3135708,31281,2440097,40067,5367405
149,2021/05/11 15:00:00+00,11512,2938849,28138,2259864,1382,209753,12894,3148602,29520,2469617,41032,5408437
150,2021/05/12 15:00:00+00,14305,2953154,36804,2296668,1834,211587,16139,3164741,38638,2508255,52943,5461380
151,2021/05/13 15:00:00+00,21253,2974407,32050,2328718,1315,212902,22568,3187309,33365,2541620,54618,5515998
152,2021/05/14 15:00:00+00,23636,2998043,27815,2356533,1740,214642,25376,3212685,29555,2571175,53191,5569189
153,2021/05/15 15:00:00+00,21164,3019207,24178,2380711,1411,216053,22575,3235260,25589,2596764,46753,5615942
154,2021/05/16 15:00:00+00,8585,3027792,16986,2397697,1093,217146,9678,3244938,18079,2614843,26664,5642606
155,2021/05/17 15:00:00+00,16810,3044602,26776,2424473,1840,218986,18650,3263588,28616,2643459,45426,5688032
156,2021/05/18 15:00:00+00,20447,3065049,28826,2453299,1888,220874,22335,3285923,30714,2674173,51161,5739193
157,2021/05/19 15:00:00+00,24625,3089674,27586,2480885,1459,222333,26084,3312007,29045,2703218,53670,5792863
158,2021/05/20 15:00:00+00,16583,3106257,26207,2507092,1554,223887,18137,3330144,27761,2730979,44344,5837207
159,2021/05/21 15:00:00+00,15288,3121545,23283,2530375,1290,225177,16578,3346722,24573,2755552,39861,5877068
160,2021/05/22 15:00:00+00,12515,3134060,14206,2544581,951,226128,13466,3360188,15157,2770709,27672,5904740
161,2021/05/23 15:00:00+00,3384,3137444,4523,2549104,390,226518,3774,3363962,4913,2775622,8297,5913037
